Country,FormalEducation,UndergradMajor,YearsCoding,YearsCodingProf,Employment,CompanySize,DevType,LanguageWorkedWith,ConvertedSalary
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",30.0,19.0,Employed full-time,10.0,Database administrator;DevOps specialist;Full-stack developer;System administrator,JavaScript;Python;Bash/Shell,70841.0
South Africa,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,10.0,Data or business analyst;Desktop or enterprise applications developer;Game or graphics developer;QA or test developer;Student,C;C++;Java;Matlab;R;SQL;Bash/Shell,21426.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,14.5,Back-end developer;Database administrator;Front-end developer;Full-stack developer,Java;JavaScript;Python;TypeScript;HTML;CSS,41671.0
United States,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",10.0,1.0,Employed full-time,10.0,Back-end developer;Front-end developer;Full-stack developer,JavaScript;HTML;CSS,120000.0
United States,Some college/university study without earning a degree,"Fine arts or performing arts (ex. graphic design, music, studio art)",30.0,22.0,Employed full-time,299.5,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data or business analyst;Database administrator;DevOps specialist;Engineering manager;Full-stack developer;System administrator",Assembly;CoffeeScript;Erlang;Go;JavaScript;Lua;Python;Ruby;SQL;HTML;CSS;Bash/Shell,250000.0
Netherlands,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,1.0,1.0,Employed full-time,59.5,Back-end developer;Front-end developer;Student,Java;JavaScript;PHP;VB.NET;HTML;CSS,0.0
Sweden,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)",7.0,1.0,Employed full-time,14.5,Back-end developer,C#;SQL;HTML;CSS;Bash/Shell,47904.0
Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",16.0,13.0,Employed full-time,0.5,Database administrator;Full-stack developer;Mobile developer,C;C++;Go;Python;SQL;Swift,95968.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,7.0,Employed full-time,59.5,Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,C#;JavaScript;PHP;SQL;HTML;CSS,420.0
United States,Some college/university study without earning a degree,,19.0,19.0,Employed full-time,14.5,Back-end developer;Database administrator;DevOps specialist;Front-end developer;Full-stack developer;QA or test developer;System administrator,JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,75000.0
